id;titulo;juez;alias;dificultad;tema_1;tema_2;tema_3;tema_4;url
1;Hahsmat the Brave Warrior;UVA;10055;0;Math;;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=996
2;XOR;Spoj;BSCXOR;1;Bitwise;Bitwise basic;;;https://www.spoj.com/problems/BSCXOR/en/
3;Automate the Grades;UVA ;11777;1;Math;Simulación;;;https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2877
4;Solve Me First;HackerRank;solve-me-first;1;Math;;;;https://www.hackerrank.com/challenges/solve-me-first/problem
5;Number Mirror ;Codechef;START01;1;Simulacion;;;;https://www.codechef.com/problems/START01
6;Xor Again;CodeChef;XORAGN;2;BitWise;;;;https://www.codechef.com/problems/XORAGN
7;Jumping Mario;UVA;11764;2;Data structures;Simulation;;;https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2864
8;500!;Uva;623;2;Math;;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=564
9;Above Average;UVA;10370;2;Math;Simulation;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1311
10;ATM;Codechef;ATM;2;Math;Simulación;;;https://www.codechef.com/problems/ATM
11;FizzBuzz;UvaLive;8000;2;Math;Simulacion;;;https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=6022
12;Natural Factorial ;CodeChef;FACT1K;2;Math;Big Factorial;;;https://www.codechef.com/problems/FACT1K
13;Tarif Plan;UVA ;12157;2;Math;Simulation;;;https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3309
14;Tennis Championship;Uva;13059;2;Math;Simulacion;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4957
15;Multiple of 17;Uva;11879;2;Simulation;;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3001
16;Searching for Nessy ;Uva;11044;2;Simulation;;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1985
17;Age Sort;Uva;11462;2;Sorting;;;;https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2457
18;Chef and Cards;CodeChef;CL16BD;2;Sorting;;;;https://www.codechef.com/problems/CL16BD
19;Turbo Sort;CodeChef;TSORT;2;Sorting;Math;Bubble Sort;Sort;https://www.codechef.com/problems/TSORT
20;Reverse The Number;Codechef;FLOW007;2;String;Math;Simulacion;;https://www.codechef.com/problems/FLOW007
21;Divisors;Uva;294;3;Math;;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=230
22;Overflow;UVA;465;3;Math;Simulation;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=406
23;Prime Factors;Uva;583;3;Math;;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=524
24;Second Order Statistics;CodeForces;22A;3;Math;Sorting;;;https://codeforces.com/problemset/problem/22/A
25;Small factorials;CodeChef;FCTRL2 ;3;Math;;;;https://www.codechef.com/problems/FCTRL2
26;Digit Counting;UVA;1225;3;Modular;Math;Strings;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3666
27;Summing Digits;UVA;11332;3;Modular;Math;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2307
